SOP003_MX524916_posCSH_Muscle-QTOF-UC-3,SOP005_MX524916_posCSH_Muscle-QTOF-UC-1,SOP007_MX524916_posCSH_Plasma1-QTOF-UC-1,SOP009_MX524916_posCSH_Liver-QTOF-UC-1,SOP010_MX524916_posCSH_Brain-QTOF-UC-1,SOP011_MX524916_posCSH_Heart-QTOF-UC-3,SOP012_MX524916_posCSH_Heart-QTOF-UC-1,SOP013_MX524916_posCSH_Muscle-QTOF-UC-2,SOP015_MX524916_posCSH_Plasma1-QTOF-UC-3,SOP016_MX524916_posCSH_Brain-QTOF-UC-3,SOP017_MX524916_posCSH_Liver-QTOF-UC-2,SOP018_MX524916_posCSH_Plasma1-QTOF-UC-2,SOP021_MX524916_posCSH_Liver-QTOF-UC-3,SOP024_MX524916_posCSH_Brain-QTOF-UC-2,SOP026_MX524916_posCSH_Heart-QTOF-UC-2
1815846,1675926,238881,1742165,1845915,1830374,1767829,1808822,249361,1806153,1749999,237322,1821513,1824204,1810833
2914178,2786055,728817,2780834,2845428,2829622,2775244,2886972,736540,2880782,2784594,719113,2807176,2828673,2799024
3369706,3251668,1212897,3585066,3531441,3468752,3409135,3314425,1185868,3377647,3594144,1211516,3659647,3355090,3478563
0,0,2213,0,4677,0,0,0,2158,3783,0,2018,0,0,0
0,0,1642,1017,3882,0,0,0,1758,3301,1029,1738,0,0,0
134723,95192,94509,78229,311693,90059,88437,110917,93936,282988,65130,90236,61045,0,93837
120321,114321,56923,25742,144780,92422,104272,119745,57846,120835,24801,54749,24010,0,102045
48239,46921,23914,81889,80411,60959,67709,49479,22702,69440,77612,24033,77889,0,69309
117996,118056,50130,133565,140886,101823,116575,114405,50163,122556,127707,48081,133856,0,119588
156204,148288,76068,181950,280802,134524,149836,151533,70438,259122,175696,72752,177567,0,147071
1679,0,0,0,0,0,0,1416,0,0,0,0,0,0,0
0,0,1102,0,2094,0,0,0,1343,0,0,1188,0,0,0
5467,5515,2722,7563,9050,5054,0,5339,2802,8270,7054,2623,7124,0,5144
9717,8781,4668,10320,14022,7580,8590,8591,4651,11644,10290,4535,10197,0,8147
24467,24273,12619,33088,36752,23475,25952,23685,11891,31819,32409,12025,32015,0,26979
16269,15505,7993,23740,24672,16245,17234,15938,7862,20796,22521,8054,23126,0,17050
259110,233557,73195,322867,296493,226132,269261,0,70257,250208,0,73257,327924,0,260030
616361,579927,155605,628661,665806,474687,544572,596669,159827,575453,610066,152558,617465,0,562461
10662,9637,5596,13929,10886,9241,10490,10499,5346,0,13085,5624,12789,0,10678
193116,180913,68312,422043,292953,213545,237777,200712,2054,261977,424206,68786,427752,0,228180
3743,3384,2023,3303,3470,2914,3321,3284,69418,3250,3254,2371,3548,0,3111
0,20259,0,2572,2590,2334,20605,2457,0,0,0,0,2450,0,0
21446,0,8093,21335,22249,18312,2264,21687,7752,19540,21345,8053,22745,0,20301
54293,50288,21467,50748,54647,45829,48805,53161,20700,48368,49690,20854,51832,0,49508
1654,28534,13500,37388,1861,27147,30327,30706,0,28706,37213,13327,38198,0,29655
30513,1702,1016,1956,32807,1561,1684,1802,13634,1847,2036,1052,1936,0,1672
17450,15825,5869,16972,17335,15223,16846,17973,5564,16033,16492,5686,17363,0,15735
0,0,0,0,0,0,0,1193,0,0,0,0,0,0,0
9634,8668,1895,9071,9815,7623,8659,9331,1895,8869,8881,1896,8938,0,8019
13877,12669,2362,12818,14000,10678,11968,13311,2308,12138,12550,2556,12701,0,11754
396220,381193,186118,542716,444767,401785,449592,404637,182618,396000,524494,174515,532245,0,450139
883542,854683,441747,754009,1206212,731852,816706,886976,434748,1103964,738866,414804,744409,0,799702
1310674,1281648,546995,634415,1708327,1224720,1349818,1272338,554348,1514203,581947,538331,577024,0,1329829
777415,748137,387536,489970,357460,597580,651360,759680,395468,291669,478809,396431,469728,0,647924
385868,366805,166923,159172,586686,333556,381816,383652,173555,485968,159692,166926,151622,0,366701
123567,110651,51753,64226,192230,80863,93158,113923,49631,169858,62530,50993,61878,0,86755
75166,70449,32288,76242,72312,68234,72708,74401,34296,61698,76363,33383,74483,0,73020
108844,105351,51837,125196,101480,105475,114468,111739,52140,88323,121183,50047,118584,0,111679
95389,96846,48819,0,0,0,0,92983,50086,0,0,48407,0,2434,0
37103,36881,18758,207025,0,37720,42244,36602,18654,35077,0,18564,0,4732,41539
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8297,7897,4276,8146,9017,6765,7821,7723,4052,8341,7442,4127,7715,0,7658
394758,364974,157533,436205,780162,309119,360149,385125,164709,745921,428635,155774,437379,0,352165
907949,899768,453009,829671,1620640,586400,638954,907348,438530,1487226,802747,450877,773721,0,646386
133445,130539,46431,139489,78575,101610,113455,132076,45232,65421,134044,46122,135849,0,111187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244812,243367,117059,292160,386523,222105,249906,248144,121282,343266,272015,118182,288045,0,254603
94472,89025,30505,110794,79928,118065,131375,87320,28302,70041,104444,29754,104968,0,140151
210116,190765,73063,227286,182091,250096,271870,194096,71630,161147,218638,72165,220338,0,271312
364280,313890,160769,376920,382040,356777,383066,345401,162607,344602,354630,166153,355841,0,403625
245119,195269,388664,409845,450661,295106,309898,212155,378374,388404,395412,362453,392021,0,364226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425
267758,211770,410078,424566,548507,208150,199010,234360,398203,494880,416728,409437,416727,0,266868
284341,225989,328753,392100,463507,223670,220349,248555,326326,441247,376156,325333,393895,0,280824
4262,3849,328753,0,463507,0,0,3377,326326,0,0,0,393895,1096,0
361350,282400,0,523491,631261,347441,373390,317903,0,581943,524159,336785,519582,0,358369
257331,211388,222196,365005,414863,253127,271094,9215,220142,394596,359651,219960,367497,0,269268
0,10067,0,0,0,0,11574,239739,0,1883,0,0,0,0,0
207307,153808,151339,247293,281530,137638,153869,173837,149894,254118,241424,150402,244178,0,130523
9210,5627,15092,38874,32379,95905,13469,9033,8491,48538,17656,7377,33731,21922,10708
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2433,0,6619,0,0,0,2505,4931,0,2497,0,0,0
3158,3812,2161,0,0,0,0,3197,2302,0,0,2364,0,0,0
4576,5763,1387,1123,1290,2682,2328,5192,1683,1351,1227,1326,1203,1472,2540
0,0,0,0,0,2604,2754,0,0,0,0,0,0,0,2571
4137,21855,0,0,0,0,0,4549,0,0,0,0,0,0,0
10002,13499,0,0,1290,8131,8093,11470,0,1215,0,0,0,1244,8569
5530,7150,0,0,0,2362,2495,5933,0,0,0,0,0,0,2329
0,0,0,0,0,5269,5418,0,0,0,0,0,0,0,5693
24528,30822,2460,1960,2554,57601,56876,26349,2367,2790,1737,2692,1914,2165,58380
11159,13963,0,0,0,3729,4002,11692,0,0,0,0,0,0,3963
3622,5020,0,0,0,1629,1465,4261,0,0,0,0,0,0,1750
0,0,0,0,0,0,3736,0,0,0,0,0,0,0,3668
0,0,0,1237,0,9031,8680,0,0,0,1125,0,1399,0,9176
9511,11844,1262,11655,3895,171563,177631,10579,1334,3821,12186,1452,12579,3738,185606
0,0,3438,1393,2562,20666,19635,0,3965,3009,0,4142,0,0,21060
17235,21619,1624,4915,0,58844,59701,19085,1444,0,4458,1546,4799,0,62043
0,0,0,6211,0,11237,11684,0,0,0,6035,0,5786,0,11838
0,0,0,0,0,8922,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2419,2471,0,0,0,0,0,0,0,2620
0,0,0,6176,0,389260,392549,0,0,1263,6140,0,6700,1117,412937
1129,1371,0,0,0,67826,67404,1218,0,0,0,0,0,0,72790
0,0,0,1012,0,63203,62936,0,0,0,0,0,0,0,66035
0,1296,0,0,0,6491,6953,1195,0,0,0,0,0,0,7398
0,0,0,1783,0,3850,4119,0,0,0,1889,0,1692,0,3928
1437,2135,0,2370,0,12401,11320,1619,0,1226,2148,0,2375,1084,12910
0,0,0,25175,0,6380,6845,0,0,0,24540,0,27916,0,6940
0,0,0,0,0,18981,19608,0,0,0,0,0,0,0,20402
0,0,0,0,0,7499,7907,0,0,0,5750,0,8599,0,7864
0,0,0,0,0,2286,2452,0,0,0,0,0,0,0,2723
0,0,0,1376,0,81569,80920,0,0,0,1245,0,1355,0,86325
0,0,0,0,0,122250,76083,0,0,0,0,0,0,0,128908
0,0,0,0,0,13330,13703,0,0,0,0,0,0,0,13424
0,0,0,0,0,0,2402,0,0,0,0,0,0,0,2477
0,0,0,0,0,2953,4764,1218,0,0,0,0,0,0,3189
0,0,0,0,0,6587,5866,0,0,0,0,0,0,0,6513
19566,17719,7226,22348,16631,23091,26237,18701,6696,15538,20860,6851,21537,0,25528
0,0,0,0,0,6804,9681,0,0,0,0,0,0,0,6775
0,0,0,0,0,4429,4488,0,0,0,0,0,0,0,4842
31302,26199,13956,33470,32138,29293,32425,29545,13959,29708,30386,14901,31308,0,35160
16733,15668,7517,9069,28042,11535,12586,15798,7350,24979,9231,8102,9390,0,11913
20085,16052,28174,26780,36972,14694,13093,18103,27863,33112,27383,27808,28418,0,19466
56885,50723,26051,59757,82283,46233,52616,53299,25218,73947,60104,25251,61354,0,51419
1954,1886,1116,0,0,1900,2051,1795,1076,0,0,1205,0,0,1818
0,1180,0,0,0,4886,4734,0,0,0,0,0,0,0,4919
0,0,0,0,0,1802,1787,0,0,0,0,0,0,0,1847
2315,2735,0,0,0,1209,1061,2301,0,0,0,0,0,0,1291
4340,5556,0,0,0,0,0,4618,1436,0,0,1414,0,0,0
70166,80453,3547,0,1979,45780,43281,83240,2870,2208,1778,2881,1649,2117,49672
0,0,1169,0,0,0,0,0,1272,0,0,1319,0,0,0
0,0,1933,0,0,0,0,0,2118,0,0,2112,0,0,0
0,0,16237,0,0,0,0,0,16078,0,0,16646,0,0,0
0,0,123296,0,0,0,0,0,130134,0,2320,131617,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3979,0,0,0,0,0,4174,0,0,3864,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1623,0,0,0,0,0,1683,0,0,1504,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21064,0,0,0,0,0,23097,0,0,22319,0,0,0
0,0,3797,0,0,0,0,0,3714,0,0,4061,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4375,0,0,0,0,0,4746,0,0,4767,0,0,0
3575,3750,5609,2552,2148,1931,2068,3414,5765,2059,2053,5552,2525,1209,1980
8433,7806,2540,10783,9328,7282,8186,8087,2658,7913,10013,2663,10378,0,8037
0,0,0,3257,0,0,0,0,2294,0,0,2468,0,0,0
0,0,0,3484,0,0,0,0,0,0,2920,0,3325,0,0
0,0,0,15550,0,0,0,0,0,0,16302,0,17009,0,0
0,0,0,6519,0,0,0,0,0,0,6223,0,6299,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19263,18353,4829,19166,20437,14437,16769,18981,4756,17295,18494,4733,18536,0,17214
0,0,0,25449,0,0,0,0,0,0,24144,0,25348,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16930,0,0,0,0,0,0,15981,0,16840,0,0
0,0,0,28599,1010,0,0,0,0,1018,26939,0,27449,1098,0
1706,2132,1408,201375,7671,3359,3238,1877,1448,7764,204256,1609,203180,8306,3426
0,0,0,54202,5400,2659,2759,1455,0,5212,48538,0,47572,5440,2862
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11423,0,0,0,0,0,0,11324,0,12061,0,0
