,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
128,#129 73.1000@14.1191 MS1+,1,+,14.119066666666669,69174.69875674575,2911.498729690386,73.0999984741211,,,0.00014868190390138203,73.0999984741211,14.131616666666666,31890.005202139266,73.0999984741211,14.119116666666669,70609.43513152684,73.0999984741211,14.131483333333334,29900.866386567708,73.0999984741211,14.13155,69637.54966381605,73.0999984741211,14.11895,46615.55942957552,73.0999984741211,14.11915,69187.56489858941,73.0999984741211,14.119066666666669,69174.69875674575,73.0999984741211,14.119033333333334,101860.5353544529,73.0999984741211,14.1379,41620.00486713997,73.0999984741211,14.131416666666668,52234.490514379504,73.0999984741211,14.131466666666666,52808.65958483308,73.0999984741211,14.1379,59802.811457650445,73.0999984741211,14.1315,29870.690878354013,73.0999984741211,14.119083333333334,66262.21702768313,73.0999984741211,14.144083333333333,9924.822753641994,73.0,14.137833333333331,33950.74902858224,73.0999984741211,14.13145,77440.15520206984,73.0999984741211,14.131466666666666,51277.73437361664,73.0999984741211,14.13145,15404.901284538731,73.0999984741211,14.125233333333334,75080.50572498533,73.0999984741211,,,,,,,14.1316,13758.05401867691,73.0999984741211,14.119066666666669,20053.11550537169,188.1000061035156,14.119066666666669,19288.95964184044,188.1000061035156,14.131416666666668,35576.24650811477,188.1000061035156,14.11265,21138.80053597479,188.1000061035156,,,,,,,14.125316666666668,11121.835914368448,188.1000061035156,14.1314,8236.829998614314,188.1000061035156,14.11905,29115.51448295263,188.1000061035156,14.11898333333333,24932.984105528856,73.0999984741211,,,,14.1439,17360.227159869537,188.1000061035156,14.125283333333334,55225.71958983657,188.1000061035156,14.150333333333334,10103.369002901192,73.0999984741211,14.144,38787.81744800038,188.1000061035156,14.118966666666669,231473.92810284105,188.1000061035156,14.119016666666669,15446.656528316556,188.1000061035156,,,,,,,,,,,,,14.1129,12159.504865225144,188.1000061035156,,,,,,,,,,,,,14.125283333333334,19286.80574407315,188.1000061035156,,,,,,,14.125383333333334,34203.03685657199,188.1000061035156,,,,14.1377,30340.850360679964,73.0999984741211,14.119033333333334,18717.86123745132,73.0999984741211,,,,14.118866666666667,18903.96541333486,188.1000061035156,,,,14.119083333333334,22203.310017398333,188.1000061035156,14.100383333333331,19890.60794232077,73.0999984741211,,,,14.119116666666669,15282.931549215573,73.0999984741211,14.112633333333331,57487.26046559084,73.0999984741211,14.1064,46248.73223771037,73.0999984741211,14.112683333333331,34757.22758777288,73.0999984741211,,,,,,,,,,14.106566666666668,37341.3632629615,73.0999984741211,,,,,,,,,,14.112666666666666,37820.92623198737,73.0999984741211,,,,14.106566666666668,41894.78816773981,73.0999984741211,14.106599999999998,73893.08899544668,73.0999984741211,,,,,,,14.106566666666668,35052.829951847656,73.0999984741211,0.052541759413446354
1,#2 73.1000@6.7941 MS1+,1,+,6.794116666666667,3000129.8961334783,72218.95553398826,73.0999984741211,,,0.0258920941545381,73.0999984741211,6.781633333333334,4300627.192965238,73.0999984741211,6.750366666666666,1816317.3886359767,73.0999984741211,,,,6.8191,2978304.0,73.0999984741211,6.768966666666667,2704896.0,73.0999984741211,,,,6.7503166666666665,2039296.0,73.0999984741211,6.7753,3430912.0,73.0999984741211,6.781666666666666,4127848.7787714615,73.0999984741211,,,,6.75645,1680602.0026245671,73.0999984741211,6.7754,1804982.924250231,73.0999984741211,6.762766666666667,2129825.164148216,73.0999984741211,6.794116666666667,3000129.8961334783,73.0999984741211,,,,6.762833333333333,1885696.0,73.0999984741211,6.7627,3123820.4091754337,73.0999984741211,6.787733333333334,2640384.0,73.0999984741211,6.781466666666668,910652.7939612538,73.0999984741211,6.76275,2732544.0,73.0999984741211,6.806616666666667,104312.91548237509,73.0999984741211,6.794,106153.31284303965,73.0999984741211,6.819133333333334,441805.054644885,73.0999984741211,6.806616666666667,262900.3616077091,73.0999984741211,6.80035,75402.9459186527,147.10000610351562,6.818966666666666,153696.70894210902,73.0999984741211,6.818966666666666,252672.0,73.0999984741211,6.81275,189104.191231214,73.0999984741211,6.8441,3929600.0,147.10000610351562,6.825366666666667,2426283.648384926,147.10000610351562,6.837716666666667,229739.37624198967,73.0999984741211,6.8191,2180096.0,73.0999984741211,6.831550000000001,2633353.952868379,147.10000610351562,6.806566666666667,121052.11125498264,73.0999984741211,6.825183333333333,347450.165192917,73.0999984741211,6.800333333333334,2232726.7503496166,147.10000610351562,6.831616666666666,262421.62067381863,73.0999984741211,6.8378,2726125.3450989667,147.10000610351562,6.825283333333333,3182592.0,147.10000610351562,6.83785,4080816.569211766,147.10000610351562,6.818983333333334,4124160.0,73.0999984741211,6.8066,240763.56763493505,73.0999984741211,6.800366666666666,516943.5007654727,73.0999984741211,6.819166666666667,383388.40513204207,73.0999984741211,6.831733333333333,3293376.0003834944,73.0999984741211,,,,6.83785,1035110.264094022,73.0999984741211,,,,6.8254,79229.0037960643,73.0999984741211,6.825333333333333,495346.8309369376,73.0999984741211,6.844016666666667,1011444.7535082912,73.0999984741211,,,,,,,6.8252,1306934.2250878543,73.0999984741211,,,,,,,6.837766666666667,1510890.4714097355,73.0999984741211,6.825183333333333,724143.4972217678,73.0999984741211,6.787883333333334,342450.16073479084,73.0999984741211,6.812883333333334,86705.54321338516,73.0999984741211,6.825466666666666,3371667.309028685,73.0999984741211,6.78775,1199413.3623262122,73.0999984741211,,,,,,,6.831483333333333,1201624.213509743,117.0999984741211,6.781466666666668,804411.0640370315,73.0999984741211,,,,6.80045,1668585.0943969395,73.0999984741211,,,,6.81915,6212608.0,73.0999984741211,,,,6.79405,1029621.8864700608,73.0999984741211,,,,6.806466666666667,3032466.660532216,73.0999984741211,6.7815666666666665,2252298.0598567342,73.0999984741211,,,,,,,,,,,,,6.762833333333333,89671.59068712033,73.0999984741211,0.06845354086698237
224,#225 77.0000@15.3513 MS1+,1,+,15.351333333333333,40514.842967264936,43.47566960071399,77.0,,,0.4567003507603243,107.0999984741211,,,,15.38895,149449.2123096668,77.0,,,,15.351333333333333,40514.842967264936,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3201,23992.52429873892,77.0999984741211,,,,15.345116666666666,77977.62061289808,77.0999984741211,15.33885,15997.50133039034,77.0999984741211,15.307566666666666,24247.81729956012,77.0999984741211,15.307416666666668,19968.068780108995,77.0,15.319916666666666,46520.69858537929,77.0999984741211,15.319966666666666,29343.243887904857,77.0999984741211,,,,15.3576,8711.25557036206,77.0999984741211,,,,,,,,,,,,,15.344916666666666,28849.685974207125,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.376466666666667,50660.369016234064,77.0,,,,,,,,,,,,,,,,15.401283333333334,62299.442951363046,77.0,,,,,,,15.401216666666668,103208.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,15.38895,245176.71934530645,77.0,,,,,,,15.376266666666668,138564.06686486024,77.0,,,,15.36395,68684.83392433799,77.0,,,,,,,,,,,,,,,,,,,,,,15.32635,19436.17622869766,77.0,,,,,,,,,,,,,0.07217340532189964
111,#112 73.1000@9.6403 MS1+,1,+,9.64025,41768.28626483714,1052.187260176202,73.0999984741211,,,0.5421377965416205,73.0999984741211,9.634066666666667,77950.5532376878,73.0999984741211,,,,,,,9.633983333333331,72928.9008304691,73.0999984741211,9.627633333333334,30702.754960849707,73.0999984741211,,,,,,,9.627716666666666,47493.32234045016,73.0999984741211,9.640333333333333,79573.39700043114,73.0999984741211,,,,9.6339,39552.36876866536,73.0999984741211,9.640333333333333,102067.1515024918,73.0999984741211,9.63395,53462.52862760518,73.0999984741211,9.627766666666666,41161.27204118413,73.0999984741211,,,,9.640283333333333,28916.538530001475,73.0999984741211,9.64015,62875.844720346126,73.0999984741211,9.6339,83350.51643874776,73.0999984741211,,,,,,,9.634016666666666,36996.46709981776,73.0999984741211,,,,,,,9.634016666666666,64686.648385492736,73.0999984741211,9.62775,53222.19732053974,147.10000610351562,9.6276,52185.32459793333,147.10000610351562,,,,,,,9.640216666666667,107039.54981025727,147.10000610351562,9.64025,42952.47276807297,73.0999984741211,,,,9.64025,65244.39459591487,147.10000610351562,,,,9.640216666666667,32936.44774906919,147.10000610351562,9.646333333333333,42625.68099988019,147.10000610351562,9.6465,32211.998388905893,73.0999984741211,9.64025,41768.28626483714,73.0999984741211,9.640183333333333,40665.90313831804,73.0999984741211,9.633916666666666,50858.74199708045,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,9.633966666666668,36019.7166376051,147.10000610351562,,,,9.640283333333333,58416.76868384157,73.0999984741211,9.633966666666668,43305.228978912,73.0999984741211,9.64015,18604.065794208786,73.0999984741211,9.640166666666667,44659.517198393936,73.0999984741211,9.640316666666669,93808.0,147.10000610351562,,,,9.690183333333334,37526.85417340323,73.0999984741211,,,,,,,9.640083333333331,34306.864960171864,73.0999984741211,9.634033333333331,27477.51667638337,116.0999984741211,9.634016666666666,48551.89753117645,147.10000610351562,,,,,,,,,,,,,9.633866666666666,175410.37956352532,147.10000610351562,,,,,,,,,,,,,9.627783333333332,174961.32561767177,116.0,,,,,,,,,,,,,,,,,,,9.652833333333335,247703.57573456876,73.0999984741211,9.659066666666666,286026.396854472,73.0999984741211,,,,,,,0.11883896381596158
57,#58 73.1000@12.6991 MS1+,1,+,12.699116666666669,944910.9001726646,50.54031315368311,73.0999984741211,,,6.463453161575927e-08,144.10000610351562,12.705416666666666,1180904.2591159812,73.0999984741211,12.699166666666668,807657.2870907981,73.0999984741211,12.705266666666668,730634.9706975664,73.0999984741211,12.70535,1122796.4900699577,73.0999984741211,12.692733333333331,289438.5767117824,73.0999984741211,12.692933333333333,448173.628758062,73.0999984741211,12.6991,595590.4034040463,73.0999984741211,12.692816666666667,743851.3626888429,73.0999984741211,12.71795,1102802.9114795856,73.0999984741211,12.711449999999996,625123.109428619,73.0999984741211,12.70525,602062.1942107866,73.0999984741211,12.711683333333331,544275.9296707294,73.0999984741211,12.71155,606707.7100663246,73.0999984741211,12.699116666666669,944910.9001726646,73.0999984741211,12.724133333333333,179772.7960821341,73.0,12.717883333333331,597360.3597324891,73.0999984741211,12.7115,564808.0734311669,73.0999984741211,12.711516666666666,620401.2892832699,73.0999984741211,12.7115,352721.51719652035,73.0999984741211,12.699033333333334,675409.7822659593,73.0999984741211,12.692866666666667,429772.71945276257,73.0999984741211,12.6865,276015.61916557094,73.0999984741211,12.705383333333334,304483.39631383406,73.0999984741211,12.69285,412791.5525195154,73.0999984741211,12.6866,186734.0579878437,73.0999984741211,12.686433333333332,134859.8007523925,73.0999984741211,12.686433333333332,276129.17482307967,73.0999984741211,12.686483333333332,393372.03622448427,73.0999984741211,12.699066666666663,317982.56348164805,73.0999984741211,12.6991,773897.4397933938,73.0999984741211,12.69895,774716.3622235594,73.0999984741211,12.692833333333333,670818.1047460174,73.0999984741211,12.699016666666669,701457.9206624159,73.0999984741211,12.68655,500802.1144034782,73.0999984741211,12.711433333333334,391119.3209633488,73.0999984741211,12.699083333333334,379568.2541978631,73.0999984741211,12.6991,289753.4613588724,73.0999984741211,12.705283333333334,308480.0,73.0999984741211,12.6865,491456.0,73.0999984741211,12.692816666666667,479295.1313240831,73.0999984741211,12.705233333333334,253314.69144449255,73.0999984741211,12.6991,310643.1131823489,73.0999984741211,12.711633333333332,358095.9378562386,73.0999984741211,12.69915,345680.97792563407,73.0999984741211,12.686683333333333,205504.0,73.0999984741211,12.692916666666669,234664.27432970543,73.0999984741211,12.692816666666667,281092.8249310207,73.0999984741211,12.69295,255778.0148158437,73.0999984741211,12.699116666666669,355030.99187194294,73.0999984741211,12.699066666666663,310305.3108462342,73.0999984741211,12.692733333333331,223614.07311755253,73.0999984741211,12.699,285357.45450586424,73.0999984741211,12.699166666666668,448938.2144837803,73.0999984741211,12.692683333333331,285302.73664824537,73.0999984741211,12.7115,275454.9812284283,73.0999984741211,12.692833333333333,320352.4511512672,73.0999984741211,12.698983333333333,155383.08414074575,73.0999984741211,12.698916666666667,272313.47211515746,73.0999984741211,12.699133333333334,172056.56111834932,73.0999984741211,12.692866666666667,331117.1955148053,73.0999984741211,12.680416666666666,333312.0,73.0999984741211,12.6865,605351.3598626154,73.0999984741211,12.705416666666666,288375.6237817534,73.0999984741211,12.686416666666666,367586.7940147845,73.0999984741211,12.68645,318493.6540466925,73.0999984741211,12.686483333333332,299129.5221887959,73.0999984741211,12.686633333333331,417359.867736384,73.0999984741211,12.686683333333333,644337.7349648466,73.0999984741211,12.692766666666667,578975.3080969104,73.0999984741211,12.686616666666668,355881.97339953505,73.0999984741211,12.686616666666668,325219.4226159761,73.0999984741211,12.68655,255745.42747974844,73.0999984741211,12.6867,467759.42668347503,73.0999984741211,12.68645,687025.086926865,73.0999984741211,12.705333333333334,360646.0358164497,73.0999984741211,12.686616666666668,301022.02375897474,73.0999984741211,12.6804,262490.6472785044,73.0999984741211,12.680383333333332,215449.86455367616,73.0999984741211,,,,12.6866,577861.7971329482,73.0999984741211,0.13444227037101228
275,#276 355.3000@7.8200 MS1+,1,+,7.81995,7311.878641900019,14.629369062080505,355.29998779296875,,,0.2789754631687072,193.0,,,,7.801266666666667,8368.700040720152,73.0999984741211,,,,7.81995,6949.250249449837,73.0999984741211,,,,7.795033333333333,9442.986802216015,73.0999984741211,7.8012,11669.172696188933,73.0999984741211,,,,,,,,,,,,,7.813783333333333,12826.803004218604,73.0999984741211,7.81365,20349.42156578585,73.0999984741211,7.801216666666667,8790.416927613627,73.0999984741211,,,,,,,7.8136,12901.345592988706,73.0999984741211,7.813616666666666,4605.659475148099,73.0999984741211,7.807333333333333,9957.75097442582,73.0999984741211,7.801116666666666,19442.792449715824,73.0999984741211,7.826233333333334,11091.2627596741,355.29998779296875,7.819883333333333,3872.896374319114,355.29998779296875,7.82625,20655.704580498103,355.29998779296875,7.826233333333334,3771.0,355.29998779296875,,,,7.819816666666667,8840.907694748337,355.29998779296875,7.819816666666667,14316.52662746,73.0999984741211,7.81985,8712.768283598487,355.29998779296875,,,,7.826216666666666,5158.670162337925,355.29998779296875,,,,7.81995,7311.878641900019,355.29998779296875,,,,7.813666666666666,8590.339071991457,355.29998779296875,,,,,,,7.826216666666666,5497.547197117929,355.29998779296875,,,,,,,,,,,,,7.819966666666667,4774.880909229541,73.0999984741211,,,,,,,,,,,,,7.83245,12691.694167360263,73.0999984741211,,,,,,,,,,7.838616666666667,14946.67771989166,73.0999984741211,,,,,,,7.82605,7262.182292046116,73.0999984741211,,,,,,,,,,,,,7.820000000000001,20214.02393851565,73.0999984741211,7.8325,11942.746036515688,73.0999984741211,7.80755,4392.447473235874,355.29998779296875,7.807366666666667,7338.974720807405,355.20001220703125,,,,,,,7.813566666666666,5726.444666551369,355.20001220703125,7.801083333333334,15996.115229516116,73.0999984741211,7.8075,8090.990813169658,355.20001220703125,,,,,,,,,,,,,,,,,,,,,,7.813683333333333,4389.963985243217,355.20001220703125,,,,,,,,,,,,,7.807466666666666,10384.056793001104,355.20001220703125,0.14349007237013398
116,#117 73.1000@11.9360 MS1+,1,+,11.936033333333333,242697.74942315024,10092.162976749709,73.0999984741211,,,9.00899421233392e-05,73.0999984741211,11.9235,141558.31395799152,73.0999984741211,11.911,25396.137741186416,73.0999984741211,11.92335,45675.47912289365,73.0999984741211,11.923433333333334,197119.66610313463,73.0999984741211,11.917083333333334,57558.229726590565,73.0999984741211,11.911033333333334,29209.409782240054,73.0999984741211,11.910933333333332,41330.83578678727,73.0999984741211,11.917166666666668,103239.82311902611,73.0999984741211,11.936033333333333,242697.74942315024,73.0999984741211,11.92955,22720.976736340883,73.0999984741211,11.923333333333334,46513.898788887374,73.0999984741211,11.929766666666668,55654.45222630566,73.0999984741211,11.923383333333334,43287.054588907406,73.0999984741211,11.917216666666668,48122.10080879416,73.0999984741211,,,,11.929716666666666,49513.98589318616,73.0999984741211,11.929583333333332,45625.30445794988,73.0999984741211,11.9296,266965.43333921244,73.0999984741211,11.929583333333332,23010.1441537894,73.0999984741211,11.917116666666669,26124.70756606658,73.0999984741211,11.9172,27615.733137758667,73.0999984741211,11.904583333333331,13320.789206250469,73.0999984741211,11.929733333333331,19198.27170522626,73.0999984741211,11.9172,105351.42724517793,73.0999984741211,11.9172,21567.859084827927,73.0999984741211,11.917033333333332,18332.262313927054,73.0999984741211,11.92955,13266.982193124742,73.0999984741211,11.923333333333334,19400.941547767463,73.0999984741211,11.92965,24241.419649883173,73.0999984741211,11.9297,86643.07467745215,73.0999984741211,11.929533333333334,42585.58824774253,73.0999984741211,11.917183333333334,87052.8425129944,73.0999984741211,11.923366666666668,76300.96906728426,73.0999984741211,11.9109,31149.16071365519,73.0999984741211,11.942033333333333,30034.32040773981,73.0999984741211,11.923416666666666,71621.36376085831,73.0999984741211,11.9297,35827.81974857728,73.0999984741211,11.929616666666666,28096.66266674298,73.0999984741211,11.9171,56810.77377944137,73.0999984741211,11.91715,39546.45763900892,73.0999984741211,,,,,,,11.942233333333336,14516.75648899391,73.0999984741211,,,,11.911033333333334,40690.732814783,73.0999984741211,11.936016666666667,25534.91711388706,73.0999984741211,11.91715,14301.655424291748,73.0999984741211,,,,11.923466666666666,20762.712574132544,73.0999984741211,11.91715,24087.73476230644,73.0999984741211,11.917083333333334,13857.16614135918,73.0999984741211,11.917083333333334,22765.962385544237,73.0999984741211,11.91725,27849.624402929825,73.0999984741211,,,,11.9421,28253.15868227066,73.0999984741211,11.929683333333331,32884.87186561276,73.0999984741211,11.923333333333334,12752.85969604263,73.0999984741211,11.917,13992.84982329025,73.0999984741211,11.904716666666667,7291.991929487965,73.0999984741211,11.917216666666668,20562.08393917815,73.0999984741211,,,,11.948383333333334,27093.76087218196,73.0999984741211,11.954783333333332,21932.91587961474,73.0999984741211,11.9483,32909.76191588063,73.0999984741211,11.948333333333334,52471.73645519032,73.0999984741211,11.954616666666668,47577.78778481283,73.0999984741211,11.9485,40409.27298398709,73.0999984741211,11.961066666666666,22887.60790387208,73.0999984741211,11.935866666666668,21526.301559266634,73.0999984741211,11.942233333333336,16725.607109167155,73.0999984741211,11.942233333333336,16845.634566973888,73.0999984741211,11.967183333333333,19908.45498473573,73.0999984741211,11.967333333333332,30233.42935513718,73.0999984741211,11.948333333333334,32721.00767490457,73.0999984741211,,,,11.942233333333336,35167.63742004453,73.0999984741211,,,,11.9485,12293.560955938046,73.0999984741211,,,,11.954733333333332,33503.68491778389,73.0999984741211,0.18263963241939388
13,#14 73.1000@17.3218 MS1+,1,+,17.321766666666665,1051867.0658142285,19747.298944063143,73.0999984741211,,,0.2417735327483609,73.0999984741211,,,,,,,,,,17.321766666666665,1051867.0658142285,73.0999984741211,,,,,,,,,,,,,,,,17.334133333333334,1542832.0097763145,73.0999984741211,17.327916666666667,2015637.27070738,73.0999984741211,,,,,,,,,,,,,,,,17.327916666666667,412163.4236077762,73.0999984741211,,,,,,,,,,,,,,,,17.365583333333333,1167968.4173631405,319.20001220703125,,,,17.35931666666667,549603.4808109575,147.10000610351562,17.346633333333333,1340533.8438175677,73.0999984741211,17.3654,781699.6557742842,319.20001220703125,,,,,,,,,,,,,,,,,,,,,,17.309083333333334,1683353.172868841,319.20001220703125,,,,,,,17.3217,404649.6845352165,73.0999984741211,17.352966666666667,1149326.8676713342,73.0999984741211,,,,,,,17.309266666666666,1029569.0355179216,73.0999984741211,,,,,,,,,,,,,17.309233333333335,991734.3084655022,73.0999984741211,,,,,,,,,,,,,,,,17.303066666666666,195966.7814460192,73.0999984741211,,,,,,,,,,,,,17.315333333333335,821316.627182473,73.0999984741211,17.32806666666667,388038.0560773682,73.0999984741211,17.309283333333333,1682064.0516257207,73.0999984741211,17.290583333333334,3137480.896362299,73.0999984741211,17.371716666666668,1238445.199979473,73.0999984741211,,,,17.277816666666663,3399379.0863797367,73.0999984741211,17.34665,2733669.743765313,73.0999984741211,,,,,,,,,,,,,17.290516666666665,3804634.7232328095,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22634329985100998
292,#293 73.1000@19.1107 MS1+,1,+,19.11068333333333,23939.40170207573,877.8761782486354,73.0999984741211,,,0.1527468753051166,73.0999984741211,,,,,,,,,,,,,,,,19.085866666666668,26042.015306521644,73.0999984741211,19.085766666666668,31854.639597955684,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.09195,62506.63082739501,73.0999984741211,,,,,,,19.129583333333333,4080.8671918055625,73.0999984741211,,,,19.1108,6833.966523304698,73.0999984741211,19.11063333333333,7080.202828526613,73.0999984741211,19.11063333333333,5743.841358155471,205.1999969482422,19.11068333333333,23939.40170207573,73.0999984741211,,,,19.123300000000004,7316.42865339914,73.0999984741211,19.12313333333333,12488.091441387543,73.0999984741211,,,,19.123216666666668,11768.77557580988,73.0999984741211,,,,,,,,,,19.12955,5833.876924000309,205.1999969482422,,,,,,,19.117,12873.32091672602,73.0999984741211,,,,19.085766666666668,13471.26389304662,73.0999984741211,,,,,,,,,,,,,,,,19.085866666666668,14954.09043746491,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.091833333333334,14942.332238939212,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2613734359374485
238,#239 73.1000@6.9192 MS1+,1,+,6.919216666666666,53896.0,1227.1202028883183,73.0999984741211,,,0.0661348771100149,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.919216666666666,53896.0,73.0999984741211,,,,,,,,,,,,,,,,6.93155,55330.19288822985,73.0999984741211,,,,,,,,,,6.925283333333334,39853.56475909558,73.0999984741211,,,,,,,6.919116666666667,49695.72829463682,73.0999984741211,,,,,,,,,,,,,6.906716666666667,28368.80730493681,73.0999984741211,,,,6.91305,25532.737036775856,73.0999984741211,6.913016666666667,508480.0,73.0999984741211,,,,6.894283333333333,126054.60289507172,73.0999984741211,,,,,,,,,,6.937866666666666,35149.07461359212,73.0999984741211,6.9568,51733.74056221196,73.0999984741211,,,,,,,6.925433333333333,328139.2942348735,73.0999984741211,6.919083333333333,46820.03326715864,73.0999984741211,,,,6.944266666666667,1502563.298188291,73.0999984741211,6.937983333333333,38395.46250366466,73.0999984741211,,,,,,,6.938033333333333,3502371.878820207,73.0999984741211,6.919033333333333,2053489.7612852051,73.0999984741211,,,,6.944116666666667,54918.810136248736,147.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2613975748231272
